Opportunity ID,MCC_DESC,Industry_Corrected,Contract Start Date,Purchased Amount,Written Off,Date Written Off,Amount at Write Off
0062X00000uq7JpQAI,MISCELLANEOUS & SPECIALITY RET,Other Retailer,2018-03-06,3325.0,0,,0.0
0062X00000uqKfyQAE,GROCERY STORES SUPERMARKETS,Food / Drink Shop,2018-03-07,18760.0,0,,0.0
0062X00000uqQD3QAM,WOMENS READY TO WEAR STORES,Other Retailer,2018-03-07,15142.0,0,,0.0
0062X00000uqWs5QAE,AUTOMOTIVE BODY REPAIR SHOPS,Car Sales / Garage Services,2018-03-13,34200.0,0,,0.0
0062X00000vAK9BQAW,HOBBY TOYS & GAME SHOPS,Other Services,2018-04-18,3350.0,0,,0.0
0062X00000vApUFQA0,CHIROPODISTS,Other Services,2018-05-16,4690.0,0,,0.0
0062X00000vAwTyQAK,DRAPERY WINDOWCOVERING & UPHOL,Other Retailer,2018-04-27,8308.0,0,,0.0
0062X00000vB1NtQAK,TELECOMMUNICATION EQUIPMENT,Other Services,2018-05-04,6650.0,0,,0.0
0062X00000vBEmsQAG,GROCERY STORES SUPERMARKETS,Other Services,2018-05-03,12864.0,0,,0.0
0062X00000vBglaQAC,UNIFORMS/COMM.CLOTHING (P.CRD),Other Services,2018-05-03,5226.0,0,,0.0
0062X00000vCaEcQAK,ELECTRICAL & SMALL APPLIANCE,Other Services,2018-05-18,6615.0,1,2018-08-20,5346.92
0062X00000vCeEiQAK,DRINKING PLACES (ALCOHOLIC),Other Services,2018-05-23,6650.0,0,,0.0
0062X00000vCHDYQA4,DRY CLEANERS,Other Services,2018-07-09,3300.0,0,,0.0
0062X00000vCLQXQA4,OSTEOPATHS,Healthcare,2018-05-21,34500.0,0,,0.0
0062X00000vCUibQAG,CHILDRENS & INFANTS WEAR STORE,Other Retailer,2018-05-18,13668.0,0,,0.0
0062X00000vDc7TQAS,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-05-30,17286.0,1,2018-11-16,12599.82
0062X00000vDCGBQA4,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-05-24,3350.0,0,,0.0
0062X00000vDhgVQAS,GIFT CARD NOVELTY & SOUVENIR,Other Retailer,2018-05-31,13300.0,0,,0.0
0062X00000vDKjaQAG,HEALTH & BEAUTY SPAS,Other Services,2018-06-28,26800.0,0,,0.0
0062X00000vDnqCQAS,GIFT CARD NOVELTY & SOUVENIR,Other Retailer,2018-06-01,9310.0,0,,0.0
0062X00000vESHXQA4,COMPUTER MAINT/REPR-UNCLASS(PC,Other Retailer,2018-06-15,4288.0,0,,0.0
0062X00000vOahKQAS,BUSINESS SERVICES MISC,Other Services,2018-08-15,14204.0,0,,0.0
0062X00000vOGhAQAW,BAKERIES,Other Retailer,2018-08-15,3752.0,0,,0.0
0062X00000vOhCmQAK,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-08-16,13000.0,0,,0.0
0062X00000vOtflQAC,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-08-23,7680.0,0,,0.0
